##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Af_NaCl_0_1_EKDN230045909-1A_HVJG7DSX7_L4_1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8230135
1117	20-24	0.0661444779982645
1117	25-29	0.11801564279013377
1117	30-34	0.0381020908695362
1117	35-39	0.09405188281927224
1117	40-44	0.04924678134278082
1117	45-49	0.01700307402808221
1117	50-54	0.010588132086056135
1117	55-59	0.055236649222926815
1117	60-64	0.010403829480438276
1117	65-69	-0.06729166083734839
1117	70-74	0.007618342861675842
1117	75-79	0.05903273727376046
1117	80-84	-0.04042215259089943
1117	85-89	-0.01516761521541099
1117	90-94	-0.017449517065038833
1117	95-99	0.043545774803767756
1117	100-104	0.07077516464517686
1117	105-109	-0.09887197765887379
1117	110-114	-0.04348717969743632
1117	115-119	-0.020661418621237715
1117	120-124	0.016063824363101276
1117	125-129	0.09911883341488448
1117	130-134	0.1970627109309575
1117	135-139	0.054065548184802026
1117	140-144	-0.015388204793801208
1117	145-149	-0.09145072566919765
1117	150	0.18860145679400375
1118	1	-0.08992050573883148
1118	2	0.09432915529877306
1118	3	0.1678067037542803
1118	4	0.003274004048151369
1118	5	0.0491861655024195
1118	6	-0.023037259943592403
1118	7	0.03878946528770655
1118	8	-0.03111270869230509
1118	9	0.07997344230236791
1118	10-14	0.008685439541324058
1118	15-19	-0.036803631555152094
1118	20-24	-0.01478645293266112
1118	25-29	-0.03252125774675818
1118	30-34	-0.010590541156425104
1118	35-39	-0.012650273882890417
1118	40-44	-0.1645382157755506
1118	45-49	-0.12089846387345204
1118	50-54	-0.09467773984648176
1118	55-59	-0.06041991643363076
1118	60-64	-0.14473919232925425
1118	65-69	-0.18118737473306368
1118	70-74	-0.08604653413653551
1118	75-79	-0.0388151105740846
1118	80-84	-0.2381092336113113
1118	85-89	-0.14837809842589422
1118	90-94	-0.2041407537562705
1118	95-99	-0.13370571911439555
1118	100-104	-0.1416433144399818
1118	105-109	-0.10440023318713543
1118	110-114	-0.21537725158751897
1118	115-119	-0.29627339423320365
1118	120-124	-0.25678629848702883
1118	125-129	-0.23918765489160876
1118	130-134	-0.22469237749080406
1118	135-139	-0.2213431938906112
1118	140-144	-0.2607244501300414
1118	145-149	-0.19225607647454268
1118	150	-0.1555305540046774
1119	1	0.01574980754394062
1119	2	-0.18519037681591755
1119	3	-0.003494932368575121
1119	4	0.0683383343950652
1119	5	0.09273584919051103
1119	6	0.062353362932611844
1119	7	0.14443647750911737
1119	8	0.08950135194482556
1119	9	-0.08764662612508545
1119	10-14	0.0044803746672812395
1119	15-19	0.07986167588293114
1119	20-24	0.005667218732078538
1119	25-29	0.044773023007721235
1119	30-34	0.028985534867167928
1119	35-39	0.033961169268359015
1119	40-44	-0.0077578010943284426
1119	45-49	-0.03202588572752063
1119	50-54	-0.06952346740269633
1119	55-59	0.06602096294841431
1119	60-64	0.11585599444817518
1119	65-69	0.006719374419354551
1119	70-74	0.04013026655006513
1119	75-79	-0.00846780825446558
1119	80-84	0.00937522263900803
1119	85-89	-0.06864652665279891
1119	90-94	-0.023685684027853426
1119	95-99	0.047602946161973136
1119	100-104	0.10336346228536542
1119	105-109	-9.71482007521729E-4
1119	110-114	0.007583614279930373
1119	115-119	0.07206279348014277
1119	120-124	0.047397407080765674
1119	125-129	-0.022198851051591362
1119	130-134	0.07513247619795038
1119	135-139	0.07681563391066248
1119	140-144	-0.07563945950872863
1119	145-149	0.06024820509548334
1119	150	0.1751658758843746
1120	1	-0.048155983161663585
1120	2	0.069323644965948
1120	3	-0.07977571689058749
1120	4	0.057452609769271135
1120	5	0.1397988385078719
1120	6	0.0152513193532684
1120	7	0.15193749942897483
1120	8	-0.019785491195037253
1120	9	0.01730259031624115
1120	10-14	7.363727510210083E-4
1120	15-19	-0.011270142665750882
1120	20-24	0.005730226274756944
1120	25-29	-0.0209396782193636
1120	30-34	0.018527324229303588
1120	35-39	0.09440675236150042
1120	40-44	0.11582498482843562
1120	45-49	0.07574669349404672
1120	50-54	-0.0241809485069453
1120	55-59	-0.01063994972364668
1120	60-64	0.08251250700671875
1120	65-69	0.10342397579249507
1120	70-74	-0.07616239046759432
1120	75-79	0.0051444245818430545
1120	80-84	0.05298581519630119
1120	85-89	0.0416348983591206
1120	90-94	0.046013155539846196
1120	95-99	-0.00571601520294962
1120	100-104	0.04268251217329322
1120	105-109	0.03651227792853717
1120	110-114	-0.012370509980314637
1120	115-119	0.07547873959566687
1120	120-124	0.09093926413695641
